cluster,ID,title,author,metadata_source,dblp_key,number,volume,year,journal,doi,ENTRYTYPE,__orig_index
1,000153,Discovery paths - exploring emergence and IT evolutionary design in cross-border M&As. Analysing grupo Santander's acquisition of abbey (2004-2009),"Busquets, Javier",DBLP,https://dblp.org/rec/journals/ejis/Busquets15,2,24,2015,European Journal of Information Systems,10.1057/EJIS.2014.38,article,152
1,000154,Discovery paths - exploring emergence and IT evolutionary design in cross-border M&As. Analysing Grupo Santander's acquisition of Abbey (2004-2009),"Busquets, Javier",DBLP,https://dblp.org/rec/journals/ejis/Busquets15a,2,24,2015,European Journal of Information Systems,10.1057/EJIS.2015.3,article,153
2,000105,"Review - Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",DBLP,https://dblp.org/rec/journals/ejis/Fitzerald03,1,12,2003,European Journal of Information Systems,10.1057/PALGRAVE.EJIS.3000444,article,104
2,000106,"Review - Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzgerald, Guy",DBLP,https://dblp.org/rec/journals/ejis/Fitzgerald03,2,12,2003,European Journal of Information Systems,10.1057/PALGRAVE.EJIS.3000458,article,105
