cluster,ID,title,author,url,pages,number,volume,year,journal,doi,ENTRYTYPE,language,__orig_index
1,000144,Erratum - Discovery paths - exploring emergence and IT evolutionary design in cross-border M&As. Analysing Grupo Santander's acquisition of Abbey (2004-2009),"Busquets, Javier",https://www.tandfonline.com/doi/full/10.1057/ejis.2015.3,227--227,2,24,2015,European Journal of Information Systems,10.1057/EJIS.2015.3,article,,143
1,000145,Discovery paths - exploring emergence and IT evolutionary design in cross-border M&As. Analysing grupo Santander's acquisition of abbey (2004-2009),"Busquets, Javier",https://www.tandfonline.com/doi/full/10.1057/ejis.2014.38,178--201,2,24,2015,European Journal of Information Systems,10.1057/EJIS.2014.38,article,,144
2,000276,"Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzerald, Gury",https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000444,75--76,1,12,2003,European Journal of Information Systems,10.1057/PALGRAVE.EJIS.3000444,article,,275
2,000278,"Erratum - Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions","Fitzgerald, Guy",https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000458,165--165,2,12,2003,European Journal of Information Systems,10.1057/PALGRAVE.EJIS.3000458,article,,277
