cluster,ID,title,author,year,booktitle,grobid-version,file,ENTRYTYPE,note,__orig_index
8,0000003061,Shifting Organisational Boundaries using Information Technology,"Schmidt, Roy and Kong, Hong and Sol, Henk and Wilson, Mark and College, James Madison",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/SchmidtKongSolEtAl1995a.pdf,inproceedings,,3048
9,0000000063,IT Deployment in Vietnam: National Policy and Role of International Investors Abstract,"Bui, Tung and Durongkaveroj, Pichet and Kwong, Otun",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/Bui1995.pdf,inproceedings,,61
9,0000000496,IT Deployment in Vietnam: National Policy and Role of International Investors Abstract,"Bui, Tung and Durongkaveroj, Pichet and Kwong, Otun",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/BuiDurongkaverojKwong1995a.pdf,inproceedings,,490
9,0000000933,IT Deployment in Vietnam: National Policy and Role of International Investors Abstract,"Bui, Tung and Durongkaveroj, Pichet and Kwong, Otun",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/BuiDurongkaverojKwong1995b.pdf,inproceedings,,926
10,0000000485,Exploring the Factors influencing Top Management Involvement and Participation in Information Security Research-in-Progress,"Munir, Rufizah Abdul and Nuha, Nurul and Molok, Abdul and Talib, Shuhaili",2017,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2017/MuniraMolokTalib2017.pdf,inproceedings,,479
10,0000001665,Exploring the Factors influencing Top Management Involvement and Participation in Information Security Research-in-Progress,"Munir, Rufizah Abdul and Nuha, Nurul and Molok, Abdul and Talib, Shuhaili",2017,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2017/MunirNuhaMolokEtAl2017a.pdf,inproceedings,,1658
11,0000001184,National IT Strategies for Denmark,"Bjorn-Andersen, Niels and Pogorel, Gerard",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/BjornAndersen1995.pdf,inproceedings,,1177
11,0000002036,National IT Strategies for Denmark,"Bjorn-Andersen, Niels and Pogorel, Gerard",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/BjornAndersenPogorel1995a.pdf,inproceedings,,2027
12,0000000201,End-User Experience With Information In Web-Based Electronic Service: A Case Study,"Sandhu, Kamaljeet and Corbitt, Brian J",2003,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2003/SandhuCorbitt2003a.pdf,inproceedings,,197
12,0000003109,End-User Control In Web-Based Electronic Services: A Case Study,"Sandhu, Kamaljeet and Corbitt, Brian J",2003,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2003/SandhuCorbitt2003.pdf,inproceedings,,3096
13,0000000468,'rhe Role of Government-Sponsored Institutes in IT Development in Taiwan Abstract,"Liang, Ting-Peng and Goodman, Seymour E",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/Liang1995.pdf,inproceedings,,462
13,0000001516,'rhe Role of Government-Sponsored Institutes in IT Development in Taiwan Abstract,"Liang, Ting-Peng and Goodman, Seymour E",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/LiangGoodman1995a.pdf,inproceedings,,1509
13,0000001884,'rhe Role of Government-Sponsored Institutes in IT Development in Taiwan Abstract,"Liang, Ting-Peng and Goodman, Seymour E",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/LiangGoodman1995b.pdf,inproceedings,,1876
14,0000000469,Modus Vivendi of E-Business,"Kuzic, Joze and Fisher, Julie and Scollary, Angela and Dawson, Linda and Kuzic, Milan and Turner, Rod",2006,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2006/KuzicFisherScollaryEtAl2006.pdf,inproceedings,,463
14,0000002750,Modus Vivendi of E-Business,"Kuzic, Joze and Fisher, Julie and Scollary, Angela and Dawson, Linda and Kuzic, Milan and Turner, Rod",2005,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2005/KuzicFisherScollaryEtAl2005.pdf,inproceedings,,2738
15,0000001689,Consumer Loyalty versus Propensity to Switch between Providers in Mature IT Markets (The Case of Mobile Phone Market),"Kazakevitch, Gennadi and Torlina, Luba and Hendricks, Sharon",2005,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2005/KazakevitchTorlinaHendricks2005.pdf,inproceedings,,1682
15,0000002804,Consumer Loyalty versus Propensity to Switch between Providers in Mature IT Markets (The Case of Mobile Phone Market),"Kazakevitch, Gennadi and Torlina, Luba and Hendricks, Sharon",2006,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2006/KazakevitchTorlinaHendricks2006.pdf,inproceedings,,2792
