ID,author,title,year,doi,ENTRYTYPE,series,volume,number,pages,abstract,search_set,container_title,author_full,author_first,title_short,container_title_short,origin
1526,mo mahmood andjack becker,effect organizational maturity end users satisfaction information systems,1986,,article,,,,,,,j mana info syst,Mo Mahmood and Jack Becker,mo,effect organizational maturity end users satisfaction information systems,jmis,1526;41
42,james marsden anddavid pingry,generating optimal information system pmax sdlc redirection mis research,1986,,article,,,,,,,j mana info syst,James Marsden and David Pingry,james,generating optimal information system pmax sdlc redirection mis research,jmis,42;457
1040,tung bui andmatthias jarke,communications requirements group decision support systems,1986,,article,,,,,,,j mana info syst,Tung Bui and Matthias Jarke,tung,communications requirements group decision support systems,jmis,1040;43
1542,paul cheney andvida scarpello,job satisfaction information systems research,1986,,article,,,,,,,j mana info syst,Paul Cheney and Vida Scarpello,paul,job satisfaction information systems research,jmis,1542;44
45,richard hoffman andcheng hsu,adaptive information systems control reliability based approach,1986,,article,,,,,,,j mana info syst,Richard Hoffman and Cheng Hsu,richard,adaptive information systems control reliability based approach,jmis,45;913
46,david paradice andjames courtney,controlling bias user assertions expert decision support systems problem formulation,1986,,article,,,,,,,j mana info syst,David Paradice and James Courtney,david,controlling bias user assertions expert decision support systems problem formulation,jmis,46;63
47,l smith andmarius janson,integration computer graphics statistical procedures decision support systems,1986,,article,,,,,,,j mana info syst,L. Smith and Marius Janson,l,integration computer graphics statistical procedures decision support systems,jmis,47
410,douglas smith andmarius janson,"integration computer graphics statistical procedures decision support systems l, douglas smith marius janson",,,article,,,,,,,j mana info syst,Douglas Smith and Marius Janson,douglas,"integration computer graphics statistical procedures decision support systems l, douglas",jmis,410
48,e,systems think response vision decision support systems,1986,,article,,,,,,,j mana info syst,E. Weber,e,systems think response vision decision support systems,jmis,48;783
49,maryam alavi andira weiss,managing risks associated end user computing,1986,,article,,,,,,,j mana info syst,Maryam Alavi and Ira Weiss,maryam,managing risks associated end user computing,jmis,49;719
265,donald,financial impact information processing,1986,,article,,,,,,,j mana info syst,Donald Bender,donald,financial impact information processing,jmis,265;50
