ID,author,title,year,volume,number,pages,doi,ENTRYTYPE,series,abstract,search_set,container_title,author_full,author_first,title_short,container_title_short,origin
27,alain pinsonneault andshamel addas andchristina qian andvijay dakshinamoorthy,integrated health information technology quality patient care natural experiment,,34,2,,101080/0742122220171334477,article,,,,j mana info syst,Alain Pinsonneault and Shamel Addas and Christina Qian and Vijay Dakshinamoorthy and Robyn Tamblyn,alain,integrated health information technology quality patient care natural experiment,jmis,27
28,aiphuong hoang androbert j kauffman,"content sampling, household informedness, consumption digital information goods",,35,2,,101080/0742122220181451958,article,,,,j mana info syst,Ai-Phuong Hoang and Robert J Kauffman,aiphuong,"content sampling, household informedness, consumption digital information goods",jmis,28
29,gordon burtch andyili hong andd e liu,role provision points online crowdfunding,,35,1,,101080/0742122220181440764,article,,,,j mana info syst,Gordon Burtch and Yili Hong and D. E Liu,gordon,role provision points online crowdfunding,jmis,29
30,scott c mcintyre andlexis f higgins,object oriented systems analysis design methodology application,,5,1,,,article,,,,j mana info syst,Scott C Mcintyre and Lexis F Higgins,scott,object oriented systems analysis design methodology application,jmis,30
31,mariam zahedi andsheldon b lubar,dynamics trust revision using health infomediaries fatemeh mariam zahedi jaeki song,,24,4,,102753/mis0742_1222240409,article,,,,j mana info syst,"Mariam "" Zahedi and Sheldon B Lubar",mariam,dynamics trust revision using health infomediaries fatemeh mariam zahedi jaeki,jmis,31
32,weiquan wang andizak benbasat,attributions trust decision support technologies study recommendation agents e commerce,,24,4,,102753/mis0742_1222240410,article,,,,j mana info syst,Weiquan Wang and Izak Benbasat,weiquan,attributions trust decision support technologies study recommendation agents e commerce,jmis,32
33,michal t lash andkang zhao,"early predictions movie success who, what, when profitability",,33,3,,101080/0742122220161243969,article,,,,j mana info syst,Michael T Lash and Kang Zhao,michal,"early predictions movie success who, what, when profitability",jmis,33
34,ritu agarwal andatish p sinha andmohan tanniru,cognitive fit requirements modeling study object process methodologies,,13,2,,,article,,,,j mana info syst,Ritu Agarwal and Atish P Sinha and Mohan Tanniru,ritu,cognitive fit requirements modeling study object process methodologies,jmis,34
35,erran carmel andwilliam k mchenry andyeshayahu cohen,"building large, dynamic hypertexts how we link intelligently",,6,2,,,article,,,,j mana info syst,Erran Carmel and William K Mchenry and Yeshayahu Cohen,erran,"building large, dynamic hypertexts how we link intelligently",jmis,35
36,ramnath,economic implications variable technology standards movie piracy global context ramnath k chellappaand shivendu shivendu,,20,2,,,article,,,,j mana info syst,Ramnath K Chellappa,ramnath,economic implications variable technology standards movie piracy global context ramnath,jmis,36
37,christian peukert andjella pfeiffer andmartin meiner andthies pfeiffer,shopping virtual reality stores influence immersion system adoption,,36,3,,101080/0742122220191628889,article,,,,j mana info syst,Christian Peukert and Jella Pfeiffer and Martin Meißner and Thies Pfeiffer and Christof Weinhardt,christian,shopping virtual reality stores influence immersion system adoption,jmis,37
38,jesse c bockstedt andkim huat goh,customized bundling consumption variety digital information goods,,31,2,,102753/mis0742_1222310205,article,,,,j mana info syst,Jesse C Bockstedt and Kim Huat Goh,jesse,customized bundling consumption variety digital information goods,jmis,38
39,david gefen andizak benbasat andpaul a pavlou,research agenda trust online environments,,24,4,,102753/mis0742_1222240411,article,,,,j mana info syst,David Gefen and Izak Benbasat and Paul A Pavlou,david,research agenda trust online environments,jmis,39
40,vicki l sauter andjoseph l schofer,evolutionary development decision support systems important issues early phases design,,4,4,,,article,,,,j mana info syst,Vicki L Sauter and Joseph L Schofer,vicki,evolutionary development decision support systems important issues early phases design,jmis,40
